,Comments,Dataset DataVic url title name,VSDL Object Name:,
"More then 1 package found for ANZLICID: ANZVI0803002490
Package: vicmap-hydro-watercourse-rivers
Package: vicmap-hydro-watercourse-streams
Package: vicmap-hydro-watercourse-drains
Package: vicmap-hydro-connector-watercourse
Package: vicmap-hydro-watercourse-channels
Package: watercourse-network-1-25-000-vicmap-hydro",WMS for features of datasets for,watercourse-network-1-25-000-vicmap-hydro,VMHYDRO.HY_WATERCOURSE,
"More then 1 package found for ANZLICID: ANZVI0803002498
Package: vicmap-hydro-water-structure-marina
Package: vicmap-hydro-water-structure-dam-batter
Package: vicmap-hydro-water-structure-spillway
Package: vicmap-hydro-water-structure-tank-water-polygon
Package: water-structure-area-polygon-1-25-000-vicmap-hydro",WMS for features of datasets for,water-structure-area-polygon-1-25-000-vicmap-hydro,VMHYDRO.HY_WATER_STRUCT_AREA_POLYGON,
"More then 1 package found for ANZLICID: ANZVI0803002491
Package: vicmap-hydro-swamps
Package: pondages-water-area-polygon-1-25-000-vicmap-hydro
Package: lakes-and-dams-water-area-polygon-1-25-000-vicmap-hydro
Package: vicmap-hydro-sewage-filtration-beds
Package: vicmap-hydro-salt-pans
Package: vicmap-hydro-salt-lakes
Package: water-area-polygon-1-25-000-vicmap-hydro
Package: area-subject-to-innundation-water-area-polygon-1-25-000-vicmap-hydro",WMS for features of datasets for,water-area-polygon-1-25-000-vicmap-hydro,VMHYDRO.HY_WATER_AREA_POLYGON,
"More then 1 package found for ANZLICID: ANZVI0803002630
Package: victorian-lower-house-electoral-boundaries-2001
Package: victorian-lower-house-electoral-boundaries-2001-vicmap-admin","Dataset title was renamed, creating a new DataVic record, delete please","Delete this record.
victorian-lower-house-electoral-boundaries-2001-vicmap-admin",VMADMIN.STATE_ASSEMBLY_2001,
"More then 1 package found for ANZLICID: ANZVI0803004650
Package: public-land-management-overlays-plm25
Package: public-land-management-overlay-wilderness-zone
Package: public-land-management-overlay-remote-and-natural-areas
Package: public-land-management-overlay-heritage-river
Package: public-land-management-overlay-remote-and-natural-catchment-areas
Package: public-land-management-overlay-reference-areas
Package: plm25-overlays-including-reference-areas-heritage-rivers-wilderness-zones-remote-natural-areas-and-",WMS for features of datasets for,plm25-overlays-including-reference-areas-heritage-rivers-wilderness-zones-remote-natural-areas-and-,CROWNLAND.PLM25_OVERLAYS,
"More then 1 package found for ANZLICID: ANZVI0803005649
Package: ward-boundaries-2016
Package: ward-boundaries-2016-polygon
Package: ward-boundaries-2016-polygon-vicmap-admin","Dataset title was renamed, creating a new DataVic record, delete please","Delete these records.
ward-boundaries-2016
ward-boundaries-2016-polygon-vicmap-admin",VMADMIN.WARD_2016,
"More then 1 package found for ANZLICID: ANZVI0803008619
Package: planned-burns-2020-21-2022-23
Package: planned-burns-2019-20-2021-22-only","Dataset title was renamed, creating a new DataVic record, delete please","Delete this record.
planned-burns-2019-20-2021-22-only",FIRE.BURNPLAN_PUBLIC,
"More then 1 package found for ANZLICID: ANZVI0803003529
Package: vicmap-lite-public-land-softwood-plantation-1-1-million-to-1-5-million
Package: statewide-public-land-classification-boundaries-polygon-1-1-million-to-1-5-million-vicmap-lite
Package: vicmap-lite-public-land-marine-parks-and-reserves-1-1-million-to-1-5-million
Package: vicmap-lite-public-land-other-public-lands-1-1-million-to-1-5-million
Package: vicmap-lite-public-land-parks-and-reserves-1-1-million-to-1-5-million
Package: vicmap-lite-public-land-coastal-waters-1-1-million-to-1-5-million
Package: vicmap-lite-public-land-state-forest-1-1-million-to-1-5-million",WMS for features of datasets for,statewide-public-land-classification-boundaries-polygon-1-1-million-to-1-5-million-vicmap-lite,VMLITE_PUBLIC_LAND_SU3,
"More then 1 package found for ANZLICID: ANZVI0803002444
Package: vicmap-transport-roundabout-points
Package: vicmap-transport-gates
Package: vicmap-transport-level-crossing-points
Package: vicmap-transport-bicycle-bridges-point
Package: road-infrastructure-vicmap-transport",WMS for features of datasets for,road-infrastructure-vicmap-transport,VMTRANS.TR_ROAD_INFRASTRUCTURE,
"More then 1 package found for ANZLICID: ANZVI0803003978
Package: public-land-management-plm25
Package: water-production-public-land-management
Package: alpine-resort-public-land-management
Package: coastal-reserve-public-land-management
Package: commonwealth-land-public-land-management
Package: essentially-natural-catchment-public-land-management
Package: forest-park-public-land-management
Package: historic-reserve-public-land-management
Package: marine-sanctuary-public-land-management
Package: natural-features-reserve-public-land-management",WMS for features of datasets for,public-land-management-plm25,CROWNLAND.PLM25,
