Status,Project,Title,Name,URL,Error
Success,DD,Address - Vicmap Address,address-vicmap-address,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/address-vicmap-address,
Success,ODP,Address - Vicmap Address,address-vicmap-address,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/address-vicmap-address,
Failed,DD,Vicmap Planning,vicmap-planning,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/vicmap-planning,['https://ckan-datavic-ckan-develop.au.amazee.io/api/action/dataset_purge', 500, u'Internal Server Error\n']
Success,ODP,Vicmap Planning,vicmap-planning,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/vicmap-planning,
Success,DD,Waterways Geomorphic Habitat,waterways-geomorphic-habitat,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/waterways-geomorphic-habitat,
Success,ODP,Waterways Geomorphic Habitat,waterways-geomorphic-habitat,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/waterways-geomorphic-habitat,
Success,DD,Irrigation Entitlement Type,irrigation-entitlement-type,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/irrigation-entitlement-type,
Success,ODP,Irrigation Entitlement Type,irrigation-entitlement-type,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/irrigation-entitlement-type,
Success,DD,Water Corp Type,water-corp-type,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/water-corp-type,
Success,ODP,Water Corp Type,water-corp-type,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/water-corp-type,
Success,DD,Melbourne Water Retailers,melbourne-water-retailers,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/melbourne-water-retailers,
Success,ODP,Melbourne Water Retailers,melbourne-water-retailers,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/melbourne-water-retailers,
Success,DD,Melbourne Water Corporation,melbourne-water-corporation,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/melbourne-water-corporation,
Success,ODP,Melbourne Water Corporation,melbourne-water-corporation,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/melbourne-water-corporation,
Success,DD,Dam Construction Type,dam-construction-type,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/dam-construction-type,
Success,ODP,Dam Construction Type,dam-construction-type,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/dam-construction-type,
Success,DD,Water Storage,water-storage,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/water-storage,
Success,ODP,Water Storage,water-storage,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/water-storage,
Failed,DD,Irrigation system allocations,irrigation-system-allocations,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/irrigation-system-allocations,['https://ckan-datavic-ckan-develop.au.amazee.io/api/action/dataset_purge', 500, u'Internal Server Error\n']
Success,ODP,Irrigation system allocations,irrigation-system-allocations,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/irrigation-system-allocations,
Success,DD,Water Corporations,water-corporations,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/water-corporations,
Success,ODP,Water Corporations,water-corporations,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/water-corporations,
Success,DD,Wetland landscape profiles,wetland-landscape-profiles,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/wetland-landscape-profiles,
Success,ODP,Wetland landscape profiles,wetland-landscape-profiles,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/wetland-landscape-profiles,
Success,DD,Watertable Elevation Surface,watertable-elevation-surface,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/watertable-elevation-surface,
Success,ODP,Watertable Elevation Surface,watertable-elevation-surface,https://ckan-datavic-ckan-odp-develop.au.amazee.io/dataset/watertable-elevation-surface,
Success,DD,Coastal Levees,coastal-levees,https://ckan-datavic-ckan-develop.au.amazee.io/dataset/coastal-levees,
